Series Name,Series Code,Country Name,Country Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Population growth (annual %),SP.POP.GROW,United States,USA,1.165714526,1.148340047,1.112768997,0.989741382,0.927797486,0.859481713,0.925483969,0.921713167,0.964253917,0.951055243,0.945865287,0.876651299,0.829616675,0.726786705
Population growth (annual %),SP.POP.GROW,United Kingdom,GBR,0.291406085,0.333405882,0.357300887,0.38497597,0.42333708,0.465641114,0.568943113,0.686611306,0.735048678,0.778666112,0.787032622,0.75639086,0.783888647,0.781506562
Population growth (annual %),SP.POP.GROW,China,CHN,0.959550406,0.865851393,0.787956593,0.726380638,0.669999568,0.622860936,0.593932815,0.58812499,0.558374367,0.522271866,0.512386932,0.497381401,0.482959689,0.546457595
Population growth (annual %),SP.POP.GROW,India,IND,1.887557865,1.849333251,1.822184002,1.808446421,1.776767874,1.724269032,1.67281087,1.604129169,1.52430796,1.46637175,1.422391509,1.39119493,1.377595812,1.361588085
Population growth (annual %),SP.POP.GROW,Italy,ITA,0.028774016,0.016820844,0.045303631,0.056167601,0.148916429,0.444507313,0.647182705,0.491389108,0.300559689,0.504933687,0.662469253,0.45561345,0.307591222,0.171978291
Population growth (annual %),SP.POP.GROW,Japan,JPN,0.27172961,0.182586374,0.167275578,0.240952588,0.232527187,0.213980949,0.033662258,0.009392097,0.063373589,0.114908848,0.048425395,-0.012494631,0.017960542,-0.185226486
Population growth (annual %),SP.POP.GROW,United Arab Emirates,ARE,6.178188555,5.864514558,5.580387001,5.317075961,5.064872584,4.829342685,4.609526744,6.955726898,13.48367209,18.12798398,17.399086,13.4229206,5.939765366,1.095562713
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,
Last Updated: 10/26/2023,,,,,,,,,,,,,,,,,
